Win#   	MACD-8  	roll  	rolls since shift
09333  	eee978d5  	4008278229  	429497
09334  	eef0068d  	4008707725  	429496
09335  	eef69446  	4009137222  	429497
09336  	eefd21ff  	4009566719  	429497
09337  	ef03afb7  	4009996215  	429496
09338  	ef0a3d70  	4010425712  	429497
09339  	ef10cb29  	4010855209  	429497
09340  	ef1758e2  	4011284706  	429497
09341  	ef1de69a  	4011714202  	429496
09342  	ef247453  	4012143699  	429497
09343  	ef2b020c  	4012573196  	429497
09344  	ef318fc5  	4013002693  	429497
09345  	ef381d7d  	4013432189  	429496
09346  	ef3eab36  	4013861686  	429497
09347  	ef4538ef  	4014291183  	429497
09348  	ef4bc6a8  	4014720680  	429497
09349  	ef525460  	4015150176  	429496
09350  	ef58e219  	4015579673  	429497
09351  	ef5f6fd2  	4016009170  	429497
09352  	ef65fd8a  	4016438666  	429496
09353  	ef6c8b43  	4016868163  	429497
09354  	ef7318fc  	4017297660  	429497
09355  	ef79a6b5  	4017727157  	429497
09356  	ef80346d  	4018156653  	429496
09357  	ef86c226  	4018586150  	429497
09358  	ef8d4fdf  	4019015647  	429497
09359  	ef93dd98  	4019445144  	429497
09360  	ef9a6b50  	4019874640  	429496
09361  	efa0f909  	4020304137  	429497
09362  	efa786c2  	4020733634  	429497
09363  	efae147a  	4021163130  	429496
09364  	efb4a233  	4021592627  	429497
09365  	efbb2fec  	4022022124  	429497
09366  	efc1bda5  	4022451621  	429497
09367  	efc84b5d  	4022881117  	429496
09368  	efced916  	4023310614  	429497
09369  	efd566cf  	4023740111  	429497
09370  	efdbf488  	4024169608  	429497
09371  	efe28240  	4024599104  	429496
09372  	efe90ff9  	4025028601  	429497
09373  	efef9db2  	4025458098  	429497
09374  	eff62b6a  	4025887594  	429496
09375  	effcb923  	4026317091  	429497
09376  	f00346dc  	4026746588  	429497
09377  	f009d495  	4027176085  	429497
09378  	f010624d  	4027605581  	429496
09379  	f016f006  	4028035078  	429497
09380  	f01d7dbf  	4028464575  	429497
09381  	f0240b78  	4028894072  	429497
09382  	f02a9930  	4029323568  	429496
09383  	f03126e9  	4029753065  	429497
09384  	f037b4a2  	4030182562  	429497
09385  	f03e425a  	4030612058  	429496
09386  	f044d013  	4031041555  	429497
09387  	f04b5dcc  	4031471052  	429497
09388  	f051eb85  	4031900549  	429497
09389  	f058793d  	4032330045  	429496
09390  	f05f06f6  	4032759542  	429497
09391  	f06594af  	4033189039  	429497
09392  	f06c2268  	4033618536  	429497
09393  	f072b020  	4034048032  	429496
09394  	f0793dd9  	4034477529  	429497
09395  	f07fcb92  	4034907026  	429497
09396  	f086594b  	4035336523  	429497
09397  	f08ce703  	4035766019  	429496
09398  	f09374bc  	4036195516  	429497
09399  	f09a0275  	4036625013  	429497
09400  	f0a0902d  	4037054509  	429496
09401  	f0a71de6  	4037484006  	429497
09402  	f0adab9f  	4037913503  	429497
09403  	f0b43958  	4038343000  	429497
09404  	f0bac710  	4038772496  	429496
09405  	f0c154c9  	4039201993  	429497
09406  	f0c7e282  	4039631490  	429497
09407  	f0ce703b  	4040060987  	429497
09408  	f0d4fdf3  	4040490483  	429496
09409  	f0db8bac  	4040919980  	429497
09410  	f0e21965  	4041349477  	429497
09411  	f0e8a71d  	4041778973  	429496
09412  	f0ef34d6  	4042208470  	429497
09413  	f0f5c28f  	4042637967  	429497
09414  	f0fc5048  	4043067464  	429497
09415  	f102de00  	4043496960  	429496
09416  	f1096bb9  	4043926457  	429497
09417  	f10ff972  	4044355954  	429497
09418  	f116872b  	4044785451  	429497
09419  	f11d14e3  	4045214947  	429496
09420  	f123a29c  	4045644444  	429497
09421  	f12a3055  	4046073941  	429497
09422  	f130be0d  	4046503437  	429496
09423  	f1374bc6  	4046932934  	429497
09424  	f13dd97f  	4047362431  	429497
09425  	f1446738  	4047791928  	429497
09426  	f14af4f0  	4048221424  	429496
09427  	f15182a9  	4048650921  	429497
09428  	f1581062  	4049080418  	429497
09429  	f15e9e1b  	4049509915  	429497
09430  	f1652bd3  	4049939411  	429496
09431  	f16bb98c  	4050368908  	429497
09432  	f1724745  	4050798405  	429497
09433  	f178d4fe  	4051227902  	429497
09434  	f17f62b6  	4051657398  	429496
09435  	f185f06f  	4052086895  	429497
09436  	f18c7e28  	4052516392  	429497
